school_code,name,type,phone,address,postcode,state,city,ppd,location,integration,
AEA2061,SEKOLAH MENENGAH KEBANGSAAN WIRA JAYA,SMK,53114339,HALAMAN AMPANG MEWAH,31350,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2062,SEKOLAH MENENGAH KEBANGSAAN JATI,SMK,55265082,TAMAN JATI,30020,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2063,SEKOLAH MENENGAH KEBANGSAAN PINJI,SMK,53221523,JALAN PERSIARAN BUNGA RAYA,31650,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2065,SEKOLAH MENENGAH KEBANGSAAN RAPAT SETIA,SMK,53113385,"JALAN TENAGA, RAPAT SETIA",31350,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2066,SEKOLAH MENENGAH KEBANGSAAN TAMBUN,SMK,55424841,"JALAN TANJUNG RAMBUTAN, TAMBUN",31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
AEA2067,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU PUTRA,SMK,55336437,"PERSIARAN PUTRA 9, BANDAR BARU PUTRA",31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEA2302,SEKOLAH MENENGAH KEBANGSAAN ULU KINTA,SMK,55331363,JALAN PASUKAN POLIS HUTAN,31150,PERAK,ULU KINTA,PPD KINTA UTARA,Bandar,Y,
AEA3038,SEKOLAH MENENGAH KEBANGSAAN PANGLIMA BUKIT GANTANG,SMK,57161161,JALAN SEKOLAH,34200,PERAK,PARIT BUNTAR,PPD KRIAN,Bandar,N,
AEA3039,SEKOLAH MENENGAH KEBANGSAAN SRI PERAK,SMK,57161136,JALAN ASUHAN,34200,PERAK,PARIT BUNTAR,PPD KRIAN,Bandar,Y,
AEA3040,SEKOLAH MENENGAH KEBANGSAAN ALANG ISKANDAR,SMK,57210346,JALAN KURAU,34300,PERAK,BAGAN SERAI,PPD KRIAN,Bandar,N,
AEA3041,SEKOLAH MENENGAH KEBANGSAAN ALOR PONGSU,SMK,57216957,ALOR PONGSU,34300,PERAK,BAGAN SERAI,PPD KRIAN,Luar Bandar,Y,
AEA3086,SEKOLAH MENENGAH KEBANGSAAN RAJA LOPE NOR RASHID,SMK,57256269,JALAN BAWAH,34250,PERAK,TANJONG PIANDANG,PPD KRIAN,Bandar,N,
AEA3087,SEKOLAH MENENGAH KEBANGSAAN KUALA KURAU,SMK,57277651,JALAN PANTAI KUALA KURAU,34350,PERAK,KUALA KURAU,PPD KRIAN,Luar Bandar,Y,
AEA3088,SEKOLAH MENENGAH KEBANGSAAN ABU BAKAR AL-BAQIR,SMK,57217518,SUNGAI GEDONG,34300,PERAK,BAGAN SERAI,PPD KRIAN,Bandar,N,
AEA3089,SEKOLAH MENENGAH KEBANGSAAN GUNUNG SEMANGGOL,SMK,58921110,TEBUK PANCHUR,34400,PERAK,SIMPANG EMPAT SEMANGGOL,PPD KRIAN,Bandar,N,
AEA3090,SEKOLAH MENENGAH KEBANGSAAN PEKAN BARU,SMK,57164277,"JALAN MERBOK, TAMAN PEKAN BARU",34200,PERAK,PARIT BUNTAR,PPD KRIAN,Bandar,Y,
AEA3091,SEKOLAH MENENGAH KEBANGSAAN SELINSING,SMK,58901971,SIMPANG EMPAT,34400,PERAK,SEMANGGOL,PPD KRIAN,Bandar,Y,
AEA4082,SEKOLAH MENENGAH KEBANGSAAN BUKIT MERCHU,SMK,57731140,JALAN SULTAN ISKANDAR SHAH,33000,PERAK,KUALA KANGSAR,PPD KUALA KANGSAR,Bandar,N,
AEA4083,SEKOLAH MENENGAH KEBANGSAAN TEMENGGONG,SMK,57523210,KATI,33020,PERAK,KUALA KANGSAR,PPD KUALA KANGSAR,Luar Bandar,Y,
AEA4085,SEKOLAH MENENGAH KEBANGSAAN TOH MUDA ABDUL AZIZ SUNGAI SIPUT (U),SMK,55951370,JALAN SENTOSA,31100,PERAK,SUNGAI SIPUT (U),PPD KUALA KANGSAR,Bandar,N,
AEA4086,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BELURU,SMK,57731131,ENGGOR,33600,PERAK,KUALA KANGSAR,PPD KUALA KANGSAR,Bandar,Y,
AEA4087,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,SMK,55951350,SIMPANG JALONG,31100,PERAK,SUNGAI SIPUT (U),PPD KUALA KANGSAR,Bandar,N,
AEA4131,SEKOLAH MENENGAH KEBANGSAAN RLKT LASAH,SMK,55918182,FELDA LASAH,31120,PERAK,SUNGAI SIPUT (U),PPD KUALA KANGSAR,Luar Bandar,Y,
AEA4141,SEKOLAH MENENGAH KEBANGSAAN SAYONG,SMK,57731121,JALAN PARIT - SAYONG,33040,PERAK,KUALA KANGSAR,PPD KUALA KANGSAR,Bandar,N,
AEA4142,SEKOLAH MENENGAH KEBANGSAAN BAWONG,SMK,55911152,KAMPUNG BAWONG,31100,PERAK,SUNGAI SIPUT (U),PPD KUALA KANGSAR,Luar Bandar,Y,
AEA5072,SEKOLAH MENENGAH KEBANGSAAN SUNGAI MANIK,SMK,56221825,SUNGAI MANIK,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,N,
AEA5073,SEKOLAH MENENGAH KEBANGSAAN SERI PERAK,SMK,56221707,JALAN CHANGKAT JONG,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,N,
AEA5074,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDULLAH,SMK,56511835,BATU 11 1/2 JALAN CHENDERONG BALAI,36600,PERAK,CHENDERONG BALAI,PPD HILIR PERAK,Bandar,Y,
AEA5078,SEKOLAH MENENGAH KEBANGSAAN ABDUL RAHMAN TALIB,SMK,56216070,JALAN CHANGKAT JONG,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,N,
AEA5079,SEKOLAH MENENGAH KEBANGSAAN SERI SETIA,SMK,56225628,JALAN PYNG TEMBAK,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,N,
AEA5080,SEKOLAH MENENGAH KEBANGSAAN SERI KANDI,SMK,56221667,JALAN PYNG TEMBAK,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,Y,
AEA5084,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG BAHAGIA,SMK,56205582,JALAN SUNGAI MANIK,36000,PERAK,TELUK INTAN,PPD HILIR PERAK,Bandar,N,
AEA6048,SEKOLAH MENENGAH KEBANGSAAN DOKTOR BURHANUDDIN,SMK,58072213,"NO 58, JALAN RAJA SULONG, KG BOYAN",34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6049,SEKOLAH MENENGAH KEBANGSAAN SUNGAI BAYOR,SMK,58394580,SIMPANG TIGA,34140,PERAK,RANTAU PANJANG,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6050,SEKOLAH MENENGAH SAINS RAJA TUN AZLAN SHAH,SBP,58083020,PETI SURAT 79,34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6051,SEKOLAH MENENGAH KEBANGSAAN SIMPANG,SMK,58471144,JALAN MATANG,34700,PERAK,SIMPANG,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6052,SEKOLAH MENENGAH KEBANGSAAN KAMUNTING,SMK,58913723,JLN KG EXPO,34600,PERAK,KAMUNTING,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6053,SEKOLAH MENENGAH KEBANGSAAN DATO' WAN AHMAD RASDI,SMK,58552661,JALAN TRONG,34850,PERAK,CHANGKAT JERING,PPD LARUT/MATANG/SELAMA,Luar Bandar,N,
AEA6054,SEKOLAH MENENGAH KEBANGSAAN JELAI,SMK,58881627,"JALAN BESAR, JELAI",34520,PERAK,BATU KURAU,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6055,SEKOLAH MENENGAH KEBANGSAAN TAMAN TASIK,SMK,58085181,PETI 50,34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6056,SEKOLAH MENENGAH KEBANGSAAN BUKIT JANA,SMK,58839230,JALAN BATU 4 1/2,34600,PERAK,KAMUNTING,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6057,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG JAMBU,SMK,58075350,JALAN CONVENT,34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6058,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN AUR,SMK,58554009,JALAN AIR KUNING CHANGKAT JERING,34850,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,Y,
AEA6059,SEKOLAH MENENGAH KEBANGSAAN TAMAN PANGLIMA,SMK,58069786,ASSAM KUMBANG,34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6060,SEKOLAH MENENGAH KEBANGSAAN KUBU GAJAH,SMK,58391913,JALAN TAIPING,34130,PERAK,SELAMA,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6061,SEKOLAH MENENGAH KEBANGSAAN MATANG,SMK,58476877,JALAN MATANG,34750,PERAK,MATANG,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6062,SEKOLAH MENENGAH KEBANGSAAN KLIAN PAUH,SMK,58073970,JALAN LUMBA KUDA,34000,PERAK,TAIPING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA6063,SEKOLAH MENENGAH KEBANGSAAN TOH JOHAN,SMK,58577081,TRONG,34800,PERAK,TRONG,PPD LARUT/MATANG/SELAMA,Luar Bandar,N,
AEA6158,SEKOLAH MENENGAH KEBANGSAAN REDANG PANJANG,MODEL KHAS,58801385,IJOK,34510,PERAK,BATU KURAU,PPD LARUT/MATANG/SELAMA,Luar Bandar,Y,
AEA6159,SEKOLAH MENENGAH KEBANGSAAN KAMPONG PERAK,SMK,58880460,KG PERAK,34500,PERAK,BATU KURAU,PPD LARUT/MATANG/SELAMA,Luar Bandar,N,
AEA6160,SEKOLAH MENENGAH KEBANGSAAN KAMUNTING BAKTI,SMK,58912353,KAMUNTING,34600,PERAK,KAMUNTING,PPD LARUT/MATANG/SELAMA,Bandar,N,
AEA7001,SEKOLAH MENENGAH KEBANGSAAN TAN SRI ABDUL AZIZ,SMK,57691111,JLN. ALANG ISKANDAR,33400,PERAK,LENGGONG,PPD HULU PERAK,Luar Bandar,Y,
AEA7002,SEKOLAH MENENGAH KEBANGSAAN BERSIA (FELDA),SMK,57911526,FELDA BERSIA,33320,PERAK,GERIK,PPD HULU PERAK,Bandar,Y,
AEA7003,SEKOLAH MENENGAH KEBANGSAAN SULTAN AZLAN SHAH,SMK,57691210,KAMPUNG CHANGKAT BERANGAN,33400,PERAK,LENGGONG,PPD HULU PERAK,Luar Bandar,N,
AEA7004,SEKOLAH MENENGAH KEBANGSAAN DATO SERI WAN MOHAMED,SMK,57915644,KG PLANG,33310,PERAK,GERIK,PPD HULU PERAK,Luar Bandar,Y,
AEA7005,SEKOLAH MENENGAH KEBANGSAAN KENERING,SMK,57911821,KG LAWIN,33300,PERAK,GERIK,PPD HULU PERAK,Luar Bandar,Y,
AEA7006,SEKOLAH MENENGAH KEBANGSAAN GERIK,SMK,57912300,JALAN KUALA KENDERONG,33300,PERAK,GERIK,PPD HULU PERAK,Bandar,Y,
AEA7007,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN HULU,SMK,44770744,JALAN KOMPLEKS GURU,33100,PERAK,PENGKALAN HULU,PPD HULU PERAK,Bandar,Y,
AEA7008,SEKOLAH MENENGAH KEBANGSAAN BATU 4,SMK,57914201,JALAN KUALA RUI,33300,PERAK,GERIK,PPD HULU PERAK,Bandar,N,
AEA7009,SEKOLAH MENENGAH KEBANGSAAN SERI BUDIMAN,SMK,57918006,JALAN BUKIT NASAH,33300,PERAK,GERIK,PPD HULU PERAK,Luar Bandar,N,
AEA8001,SEKOLAH MENENGAH KEBANGSAAN SULTAN MUHAMMAD SHAH,SMK,53778236,JALAN PYNG BOLA,32800,PERAK,PARIT,PPD PERAK TENGAH,Luar Bandar,Y,
AEA8002,SEKOLAH MENENGAH KEBANGSAAN SULTAN MUZAFAR SHAH 1,SMK,53761377,LAMBOR KANAN,32600,PERAK,BOTA,PPD PERAK TENGAH,Luar Bandar,Y,
AEA8003,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL JALIL SHAH,SMK,56553954,SEBERANG PERAK,36000,PERAK,TELUK INTAN,PPD PERAK TENGAH,Luar Bandar,N,
AEA8004,SEKOLAH MENENGAH KEBANGSAAN LAYANG-LAYANG KIRI,SMK,53761125,LAYANG-LAYANG KIRI,32800,PERAK,PARIT,PPD PERAK TENGAH,Bandar,N,
AEA8005,SEKOLAH MENENGAH KEBANGSAAN CHANGKAT LY,SMK,56551097,BANDAR SEBERANG PERAK,36800,PERAK,KAMPONG GAJAH,PPD PERAK TENGAH,Luar Bandar,Y,
AEA8006,SEKOLAH MENENGAH KEBANGSAAN LAMBOR KIRI,SMK,53761187,KG. LAMBOR KIRI,32900,PERAK,LAMBOR KANAN,PPD PERAK TENGAH,Luar Bandar,N,
AEA8007,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RANGGAM,SMK,56224350,KOTA SETIA,36810,PERAK,KG GAJAH,PPD PERAK TENGAH,Luar Bandar,Y,
AEA8008,SEKOLAH MENENGAH KEBANGSAAN SERI ISKANDAR,SMK,53712892,SERI ISKANDAR,32610,PERAK,SERI ISKANDAR,PPD PERAK TENGAH,Bandar,Y,
AEA8009,SEKOLAH MENENGAH KEBANGSAAN SERI LONDANG,SMK,53762041,GELUNG PEPUYU,32600,PERAK,BOTA,PPD PERAK TENGAH,Bandar,Y,
AEA9001,SEKOLAH MENENGAH KEBANGSAAN SRI KAMPAR,SMK,54661359,JALAN ISKANDAR,31900,PERAK,KAMPAR,PPD KINTA SELATAN,Bandar,N,
AEA9002,SEKOLAH MENENGAH KEBANGSAAN SENTOSA,SMK,54671220,TAMAN BANDAR BARU,31900,PERAK,KAMPAR,PPD KINTA SELATAN,Bandar,Y,
AEA9003,SEKOLAH MENENGAH KEBANGSAAN SERI TEJA,SMK,53591264,BT 1  JLN KOTA BHARU,31600,PERAK,GOPENG,PPD KINTA SELATAN,Bandar,N,
AEAA001,SEKOLAH MENENGAH KEBANGSAAN KHIR JOHARI,SMK,54596334,JALAN BEROP,35900,PERAK,TANJONG MALIM,PPD BATANG PYNG,Bandar,Y,
AEAA002,SEKOLAH MENENGAH KEBANGSAAN SLIM,SMK,54528926,"JLN MELATI, TAMAN SEROJA",35800,PERAK,SLIM RIVER,PPD BATANG PYNG,Bandar,Y,
AEAA003,SEKOLAH MENENGAH KEBANGSAAN BANDAR BEHRANG 2020,SMK,54581172,BANDAR BEHRANG 2020,35900,PERAK,TANJONG MALIM,PPD BATANG PYNG,Bandar,Y,
AEAA004,SEKOLAH MENENGAH KEBANGSAAN PROTON CITY,SMK,05-4581431,"JALAN PC10, PROTON CITY",35900,PERAK,TANJONG MALIM,PPD BATANG PYNG,Bandar,N,
AEAB001,SEKOLAH MENENGAH KEBANGSAAN ULU BERNAM,SMK,56366107,"BAHAGIAN SATU, LYNG ULU BERNAM",36500,PERAK,ULU BERNAM,PPD BAGAN DATUK,Luar Bandar,Y,
AEAB002,SEKOLAH MENENGAH KEBANGSAAN HUTAN MELINTANG,SMK,56411378,HUTAN MELINTANG,36400,PERAK,HUTAN MELINTANG,PPD BAGAN DATUK,Bandar,Y,
AEAB003,SEKOLAH MENENGAH SAINS TELOK INTAN,SBP,56411711,BATU 8 JALAN HUTAN MELINTANG,36000,PERAK,TELUK INTAN,PPD BAGAN DATUK,Luar Bandar,N,
AEAB004,SEKOLAH MENENGAH KEBANGSAAN SERI PERKASA,SMK,56416680,"JALAN SABAK BERNAM, SEBELUM JAMBATAN SABAK BERNAM",36400,PERAK,HUTAN MELINTANG,PPD BAGAN DATUK,Luar Bandar,N,
AEAB005,SEKOLAH MENENGAH KEBANGSAAN RUNGKUP,SMK,56467021,JALAN RUNGKUP,36200,PERAK,SELEKOH,PPD BAGAN DATUK,Luar Bandar,N,
AEAB006,SEKOLAH MENENGAH SAINS BAGAN DATOH,SBP,56466331,JALAN BAGAN DATOH,36100,PERAK,BAGAN DATOH,PPD BAGAN DATUK,Luar Bandar,N,
AEB0035,SEKOLAH MENENGAH KEBANGSAAN BUYONG ADIL,SMK,54011152,JALAN KELAB,35000,PERAK,TAPAH,PPD BATANG PYNG,Bandar,N,
AEB0036,SEKOLAH MENENGAH KEBANGSAAN SRI TAPAH,SMK,54012628,JALAN PAHANG,35000,PERAK,TAPAH,PPD BATANG PYNG,Bandar,N,
AEB0038,SEKOLAH MENENGAH KEBANGSAAN CHOONG HUA,SMK,54341140,JALAN PASAR,35500,PERAK,BIDOR,PPD BATANG PYNG,Bandar,N,
AEB1027,SEKOLAH MENENGAH KEBANGSAAN CONVENT,SMK,56913932,JALAN RAJA OMAR,32000,PERAK,SITIAWAN,PPD MANJUNG,Bandar,N,
AEB1031,SEKOLAH MENENGAH KEBANGSAAN NAN HWA,SMK,56911077,JALAN LIN CHEN MEI,32000,PERAK,SITIAWAN,PPD MANJUNG,Bandar,N,
AEB1033,SEKOLAH MENENGAH KEBANGSAAN DINDINGS,SMK,56812119,PUNDUT,32200,PERAK,LUMUT,PPD MANJUNG,Bandar,N,
AEB1034,SEKOLAH MENENGAH KEBANGSAAN AYER TAWAR,SMK,56722042,JALAN PASAR,32400,PERAK,AYER TAWAR,PPD MANJUNG,Bandar,N,
AEB1036,SEKOLAH MENENGAH KEBANGSAAN METHODIST,SMK,56722492,JALAN BESAR AYER TAWAR,32400,PERAK,AYER TAWAR,PPD MANJUNG,Bandar,N,
AEB2043,SEKOLAH MENENGAH KEBANGSAAN ANDERSON,SMK,52494900,JALAN HOSPITAL,30450,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2044,SEKOLAH MENENGAH KEBANGSAAN ST. MICHAEL,SMK,52540418,JLN DATO S P SEENIVASAGAM,30000,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2045,SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),SMK,52549336,"NO 111, JALAN LAHAT",30200,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2046,SEKOLAH MENENGAH KEBANGSAAN RAJA PEREMPUAN,SMK,52494830,JALAN BATU BUNGKAL,30250,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2047,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN METHODIST,SMK,52549580,"NO. 2, JALAN RAJA PERMAISURI BAINUN",30250,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2048,SEKOLAH MENENGAH KEBANGSAAN CONVENT,SMK,52494200,JLN SULTAN IDRIS SHAH,30000,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2049,SEKOLAH MENENGAH KEBANGSAAN TARCISIAN CONVENT,SMK,55277134,"JALAN ABDUL MANAP, TAMAN LIM",30100,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2050,SEKOLAH TUANKU ABDUL RAHMAN,SBP,55457733,JALAN SULTAN AZLAN SHAH,31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2051,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN PERAK,SMK,52548116,NO.247 JLN  RAJA PERMAISURI BAINUN,30250,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2052,SEKOLAH MENENGAH KEBANGSAAN AVE MARIA CONVENT,SMK,52545587,JLN CHUNG THYE PHIN,30250,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2053,SEKOLAH MENENGAH KEBANGSAAN SAM TET,SMK,52545457,NO.5 JALAN GEREJA,30300,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2054,SEKOLAH MENENGAH KEBANGSAAN POI LAM,SMK,52924469,"4, JALAN SRI KLEBANG D/2, BANDAR BARU SRI KLEBANG",31200,PERAK,CHEMOR,PPD KINTA UTARA,Bandar,N,
AEB2055,SEKOLAH MENENGAH KEBANGSAAN YUK CHOY,SMK,55061726,NO 6 JLN KUALA KANGSAR,30010,PERAK,IPOH,PPD KINTA UTARA,Bandar,N,
AEB2056,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,SMK,55450844,FAIR PARK,31400,PERAK,IPOH,PPD KINTA UTARA,Bandar,Y,
